GUID: 191878, Type: VehicleItem, Rarity: Epic, Name: White Flag, Probability: 2,380952380952381 
GUID: 191991, Type: VehicleItem, Rarity: Legendary, Name: Great White Flag, Probability: 2,380952380952381 
GUID: 191696, Type: TownhallItem, Rarity: Uncommon, Name: One-Man-Band Billboard, Probability: 1,5873015873015874 
GUID: 191697, Type: TownhallItem, Rarity: Rare, Name: Piano Concerto Billboard, Probability: 1,1904761904761905 
GUID: 191698, Type: TownhallItem, Rarity: Epic, Name: La Condesa Del Amor's Majestic Dance Billboard, Probability: 2,380952380952381 
GUID: 190850, Type: GuildhouseItem, Rarity: Uncommon, Name: Bow Saw, Probability: 1,5873015873015874 
GUID: 190908, Type: GuildhouseItem, Rarity: Uncommon, Name: Circular Saw, Probability: 1,5873015873015874 
GUID: 190909, Type: GuildhouseItem, Rarity: Rare, Name: Circular Rip Saw, Probability: 1,1904761904761905 
GUID: 190851, Type: GuildhouseItem, Rarity: Rare, Name: Two-Man Saw, Probability: 1,1904761904761905 
GUID: 190910, Type: GuildhouseItem, Rarity: Epic, Name: Harker's Electric Treadle Lathe, Probability: 2,380952380952381 
GUID: 190852, Type: GuildhouseItem, Rarity: Epic, Name: Vincent Drag Saw, Probability: 2,380952380952381 
GUID: 191059, Type: CultureItem, Rarity: Common, Name: Chicken, Probability: 2,380952380952381 
GUID: 190522, Type: CultureItem, Rarity: Common, Name: Quartz Crystals, Probability: 2,380952380952381 
GUID: 190467, Type: CultureItem, Rarity: Common, Name: Rats, Probability: 2,380952380952381 
GUID: 190529, Type: CultureItem, Rarity: Uncommon, Name: Iron Helm, Probability: 1,5873015873015874 
GUID: 190533, Type: CultureItem, Rarity: Uncommon, Name: Iron Shield, Probability: 1,5873015873015874 
GUID: 190535, Type: CultureItem, Rarity: Uncommon, Name: Iron Sword, Probability: 1,5873015873015874 
GUID: 190487, Type: CultureItem, Rarity: Uncommon, Name: Pyrite Crystals, Probability: 1,5873015873015874 
GUID: 190489, Type: CultureItem, Rarity: Rare, Name: Jade Pearl, Probability: 1,1904761904761905 
GUID: 190547, Type: CultureItem, Rarity: Epic, Name: Diamond, Probability: 2,380952380952381 
