GUID: 191878, Type: VehicleItem, Rarity: Epic, Name: White Flag, Probability: 3,125 
GUID: 191696, Type: TownhallItem, Rarity: Uncommon, Name: One-Man-Band Billboard, Probability: 4,166666666666667 
GUID: 191697, Type: TownhallItem, Rarity: Rare, Name: Piano Concerto Billboard, Probability: 1,5625 
GUID: 191698, Type: TownhallItem, Rarity: Epic, Name: La Condesa Del Amor's Majestic Dance Billboard, Probability: 3,125 
GUID: 190850, Type: GuildhouseItem, Rarity: Uncommon, Name: Bow Saw, Probability: 4,166666666666667 
GUID: 190908, Type: GuildhouseItem, Rarity: Uncommon, Name: Circular Saw, Probability: 4,166666666666667 
GUID: 190909, Type: GuildhouseItem, Rarity: Rare, Name: Circular Rip Saw, Probability: 1,5625 
GUID: 190851, Type: GuildhouseItem, Rarity: Rare, Name: Two-Man Saw, Probability: 1,5625 
GUID: 190910, Type: GuildhouseItem, Rarity: Epic, Name: Harker's Electric Treadle Lathe, Probability: 3,125 
GUID: 190852, Type: GuildhouseItem, Rarity: Epic, Name: Vincent Drag Saw, Probability: 3,125 
GUID: 191059, Type: CultureItem, Rarity: Common, Name: Chicken, Probability: 6,25 
GUID: 190522, Type: CultureItem, Rarity: Common, Name: Quartz Crystals, Probability: 6,25 
GUID: 190467, Type: CultureItem, Rarity: Common, Name: Rats, Probability: 6,25 
GUID: 190529, Type: CultureItem, Rarity: Uncommon, Name: Iron Helm, Probability: 4,166666666666667 
GUID: 190533, Type: CultureItem, Rarity: Uncommon, Name: Iron Shield, Probability: 4,166666666666667 
GUID: 190535, Type: CultureItem, Rarity: Uncommon, Name: Iron Sword, Probability: 4,166666666666667 
GUID: 190487, Type: CultureItem, Rarity: Uncommon, Name: Pyrite Crystals, Probability: 4,166666666666667 
GUID: 190489, Type: CultureItem, Rarity: Rare, Name: Jade Pearl, Probability: 1,5625 
