GUID: 190664, Type: HarborOfficeItem, Rarity: Common, Name: Bruiser, Probability: 1,7948717948717947 
GUID: 190694, Type: HarborOfficeItem, Rarity: Common, Name: Carpenter, Probability: 0,8974358974358974 
GUID: 190680, Type: HarborOfficeItem, Rarity: Common, Name: Guide, Probability: 5,384615384615384 
GUID: 191432, Type: HarborOfficeItem, Rarity: Common, Name: Gunner, Probability: 1,7948717948717947 
GUID: 191433, Type: HarborOfficeItem, Rarity: Uncommon, Name: Artillerywoman, Probability: 0,7692307692307693 
GUID: 190665, Type: HarborOfficeItem, Rarity: Uncommon, Name: Scammer, Probability: 0,7692307692307693 
GUID: 190695, Type: HarborOfficeItem, Rarity: Uncommon, Name: Ship Builder, Probability: 0,38461538461538464 
GUID: 190681, Type: HarborOfficeItem, Rarity: Uncommon, Name: Souvenir Seller, Probability: 2,307692307692308 
GUID: 190669, Type: TownhallItem, Rarity: Common, Name: Bartender, Probability: 0,8974358974358974 
GUID: 190675, Type: TownhallItem, Rarity: Common, Name: Fellow, Probability: 0,8974358974358974 
GUID: 190726, Type: TownhallItem, Rarity: Common, Name: Fool, Probability: 0,8974358974358974 
GUID: 191564, Type: TownhallItem, Rarity: Common, Name: Governess, Probability: 0,8974358974358974 
GUID: 191466, Type: TownhallItem, Rarity: Common, Name: Grocer, Probability: 2,692307692307692 
GUID: 191569, Type: TownhallItem, Rarity: Common, Name: Housemaid, Probability: 0,8974358974358974 
GUID: 111161, Type: TownhallItem, Rarity: Common, Name: Intoxicator, Probability: 5,384615384615385 
GUID: 191575, Type: TownhallItem, Rarity: Common, Name: Lender, Probability: 0,8974358974358974 
GUID: 191006, Type: TownhallItem, Rarity: Common, Name: Sergeant, Probability: 1,7948717948717947 
GUID: 191576, Type: TownhallItem, Rarity: Uncommon, Name: Banker, Probability: 0,38461538461538464 
GUID: 190727, Type: TownhallItem, Rarity: Uncommon, Name: Comedian, Probability: 0,38461538461538464 
GUID: 111162, Type: TownhallItem, Rarity: Uncommon, Name: Confessor of the Burgeois, Probability: 2,3076923076923075 
GUID: 191570, Type: TownhallItem, Rarity: Uncommon, Name: Footman, Probability: 0,38461538461538464 
GUID: 191007, Type: TownhallItem, Rarity: Uncommon, Name: Inspector, Probability: 0,7692307692307693 
GUID: 190676, Type: TownhallItem, Rarity: Uncommon, Name: Lecturer, Probability: 0,38461538461538464 
GUID: 191467, Type: TownhallItem, Rarity: Uncommon, Name: Peddler, Probability: 1,153846153846154 
GUID: 190671, Type: TownhallItem, Rarity: Uncommon, Name: Publican, Probability: 0,38461538461538464 
GUID: 191565, Type: TownhallItem, Rarity: Uncommon, Name: Schoolteacher, Probability: 0,38461538461538464 
GUID: 190711, Type: GuildhouseItem, Rarity: Common, Name: Abbé, Probability: 2,692307692307692 
GUID: 190615, Type: GuildhouseItem, Rarity: Common, Name: Angler, Probability: 0,173697270471464 
GUID: 190628, Type: GuildhouseItem, Rarity: Common, Name: Baker, Probability: 0,173697270471464 
GUID: 191367, Type: GuildhouseItem, Rarity: Common, Name: Bean Sifter, Probability: 0,4895104895104895 
GUID: 190699, Type: GuildhouseItem, Rarity: Common, Name: Boilermaker, Probability: 0,173697270471464 
GUID: 190740, Type: GuildhouseItem, Rarity: Common, Name: Burner, Probability: 0,173697270471464 
GUID: 191384, Type: GuildhouseItem, Rarity: Common, Name: Butcher, Probability: 0,173697270471464 
GUID: 191394, Type: GuildhouseItem, Rarity: Common, Name: Canner, Probability: 0,173697270471464 
GUID: 191425, Type: GuildhouseItem, Rarity: Common, Name: Carpenter, Probability: 0,8974358974358974 
GUID: 190645, Type: GuildhouseItem, Rarity: Common, Name: Cellar Man, Probability: 0,173697270471464 
GUID: 191315, Type: GuildhouseItem, Rarity: Common, Name: Chandler, Probability: 0,173697270471464 
GUID: 191330, Type: GuildhouseItem, Rarity: Common, Name: Confectioner, Probability: 0,4895104895104895 
GUID: 190745, Type: GuildhouseItem, Rarity: Common, Name: Cropper, Probability: 0,173697270471464 
GUID: 191586, Type: GuildhouseItem, Rarity: Common, Name: Digger, Probability: 0,173697270471464 
GUID: 190616, Type: GuildhouseItem, Rarity: Common, Name: Diver, Probability: 0,4895104895104895 
GUID: 191585, Type: GuildhouseItem, Rarity: Common, Name: Driller, Probability: 0,173697270471464 
