GUID: 113359, Type: VehicleItem, Rarity: Rare, Name: Hobby Diver, Probability: 0,3846153846153846 
GUID: 113356, Type: VehicleItem, Rarity: Rare, Name: Marine Biologist, Probability: 0,3846153846153846 
GUID: 113353, Type: VehicleItem, Rarity: Rare, Name: Renowned Excavator, Probability: 0,3846153846153846 
GUID: 113362, Type: VehicleItem, Rarity: Rare, Name: Treasure Seeker, Probability: 0,3846153846153846 
GUID: 190664, Type: HarborOfficeItem, Rarity: Common, Name: Bruiser, Probability: 1,2820512820512822 
GUID: 190694, Type: HarborOfficeItem, Rarity: Common, Name: Carpenter, Probability: 0,6410256410256411 
GUID: 190680, Type: HarborOfficeItem, Rarity: Common, Name: Guide, Probability: 3,8461538461538463 
GUID: 191432, Type: HarborOfficeItem, Rarity: Common, Name: Gunner, Probability: 1,2820512820512822 
GUID: 191433, Type: HarborOfficeItem, Rarity: Uncommon, Name: Artillerywoman, Probability: 1,0256410256410255 
GUID: 190665, Type: HarborOfficeItem, Rarity: Uncommon, Name: Scammer, Probability: 1,0256410256410255 
GUID: 190695, Type: HarborOfficeItem, Rarity: Uncommon, Name: Ship Builder, Probability: 0,5128205128205128 
GUID: 190681, Type: HarborOfficeItem, Rarity: Uncommon, Name: Souvenir Seller, Probability: 3,0769230769230766 
GUID: 191434, Type: HarborOfficeItem, Rarity: Rare, Name: Cannoneer, Probability: 0,1923076923076923 
GUID: 190696, Type: HarborOfficeItem, Rarity: Rare, Name: Naval Architect, Probability: 0,1282051282051282 
GUID: 190666, Type: HarborOfficeItem, Rarity: Rare, Name: Savvy Customs Officer, Probability: 0,2564102564102564 
GUID: 190682, Type: HarborOfficeItem, Rarity: Rare, Name: Travel Agent, Probability: 0,7692307692307692 
GUID: 190669, Type: TownhallItem, Rarity: Common, Name: Bartender, Probability: 0,6410256410256411 
GUID: 190675, Type: TownhallItem, Rarity: Common, Name: Fellow, Probability: 0,6410256410256411 
GUID: 190726, Type: TownhallItem, Rarity: Common, Name: Fool, Probability: 0,6410256410256411 
GUID: 191564, Type: TownhallItem, Rarity: Common, Name: Governess, Probability: 0,6410256410256411 
GUID: 191466, Type: TownhallItem, Rarity: Common, Name: Grocer, Probability: 1,9230769230769231 
GUID: 191569, Type: TownhallItem, Rarity: Common, Name: Housemaid, Probability: 0,6410256410256411 
GUID: 111161, Type: TownhallItem, Rarity: Common, Name: Intoxicator, Probability: 3,8461538461538463 
GUID: 191575, Type: TownhallItem, Rarity: Common, Name: Lender, Probability: 0,6410256410256411 
GUID: 191006, Type: TownhallItem, Rarity: Common, Name: Sergeant, Probability: 1,2820512820512822 
GUID: 191576, Type: TownhallItem, Rarity: Uncommon, Name: Banker, Probability: 0,5128205128205128 
GUID: 190727, Type: TownhallItem, Rarity: Uncommon, Name: Comedian, Probability: 0,5128205128205128 
