GUID: 190664, Type: HarborOfficeItem, Rarity: Common, Name: Bruiser, Probability: 1,2962962962962963 
GUID: 190694, Type: HarborOfficeItem, Rarity: Common, Name: Carpenter, Probability: 0,6481481481481481 
GUID: 190680, Type: HarborOfficeItem, Rarity: Common, Name: Guide, Probability: 3,888888888888889 
GUID: 191432, Type: HarborOfficeItem, Rarity: Common, Name: Gunner, Probability: 1,2962962962962963 
GUID: 191433, Type: HarborOfficeItem, Rarity: Uncommon, Name: Artillerywoman, Probability: 2,0370370370370368 
GUID: 190665, Type: HarborOfficeItem, Rarity: Uncommon, Name: Scammer, Probability: 2,0370370370370368 
GUID: 190695, Type: HarborOfficeItem, Rarity: Uncommon, Name: Ship Builder, Probability: 1,0185185185185184 
GUID: 190681, Type: HarborOfficeItem, Rarity: Uncommon, Name: Souvenir Seller, Probability: 6,111111111111111 
GUID: 191434, Type: HarborOfficeItem, Rarity: Rare, Name: Cannoneer, Probability: 0,2777777777777778 
GUID: 190696, Type: HarborOfficeItem, Rarity: Rare, Name: Naval Architect, Probability: 0,1851851851851852 
GUID: 190666, Type: HarborOfficeItem, Rarity: Rare, Name: Savvy Customs Officer, Probability: 0,3703703703703704 
GUID: 190682, Type: HarborOfficeItem, Rarity: Rare, Name: Travel Agent, Probability: 1,1111111111111112 
GUID: 190669, Type: TownhallItem, Rarity: Common, Name: Bartender, Probability: 0,6481481481481481 
GUID: 190675, Type: TownhallItem, Rarity: Common, Name: Fellow, Probability: 0,6481481481481481 
GUID: 190726, Type: TownhallItem, Rarity: Common, Name: Fool, Probability: 0,6481481481481481 
GUID: 191564, Type: TownhallItem, Rarity: Common, Name: Governess, Probability: 0,6481481481481481 
GUID: 191466, Type: TownhallItem, Rarity: Common, Name: Grocer, Probability: 1,9444444444444444 
GUID: 191569, Type: TownhallItem, Rarity: Common, Name: Housemaid, Probability: 0,6481481481481481 
GUID: 191575, Type: TownhallItem, Rarity: Common, Name: Lender, Probability: 0,6481481481481481 
GUID: 191006, Type: TownhallItem, Rarity: Common, Name: Sergeant, Probability: 1,2962962962962963 
GUID: 191576, Type: TownhallItem, Rarity: Uncommon, Name: Banker, Probability: 1,0185185185185184 
GUID: 190727, Type: TownhallItem, Rarity: Uncommon, Name: Comedian, Probability: 1,0185185185185184 
GUID: 191570, Type: TownhallItem, Rarity: Uncommon, Name: Footman, Probability: 1,0185185185185184 
GUID: 191007, Type: TownhallItem, Rarity: Uncommon, Name: Inspector, Probability: 2,0370370370370368 
GUID: 190676, Type: TownhallItem, Rarity: Uncommon, Name: Lecturer, Probability: 1,0185185185185184 
GUID: 191467, Type: TownhallItem, Rarity: Uncommon, Name: Peddler, Probability: 3,0555555555555554 
GUID: 190671, Type: TownhallItem, Rarity: Uncommon, Name: Publican, Probability: 1,0185185185185184 
GUID: 191565, Type: TownhallItem, Rarity: Uncommon, Name: Schoolteacher, Probability: 1,0185185185185184 
GUID: 190728, Type: TownhallItem, Rarity: Rare, Name: Actor, Probability: 0,1851851851851852 
GUID: 190672, Type: TownhallItem, Rarity: Rare, Name: Generous Innkeeper, Probability: 0,1851851851851852 
GUID: 191566, Type: TownhallItem, Rarity: Rare, Name: Headmistress, Probability: 0,1851851851851852 
GUID: 191577, Type: TownhallItem, Rarity: Rare, Name: Postal Banker, Probability: 0,1851851851851852 
GUID: 190722, Type: TownhallItem, Rarity: Rare, Name: Punctilious Physician, Probability: 0,3703703703703704 
GUID: 191468, Type: TownhallItem, Rarity: Rare, Name: Sales Clerk, Probability: 0,5555555555555556 
GUID: 191571, Type: TownhallItem, Rarity: Rare, Name: Steward, Probability: 0,1851851851851852 
GUID: 191008, Type: TownhallItem, Rarity: Rare, Name: Superintendent, Probability: 0,3703703703703704 
GUID: 190677, Type: TownhallItem, Rarity: Rare, Name: Very Senior Lecturer, Probability: 0,1851851851851852 
GUID: 190653, Type: TownhallItem, Rarity: Rare, Name: Veteran Firefighter, Probability: 0,3703703703703704 
GUID: 190711, Type: GuildhouseItem, Rarity: Common, Name: Abbé, Probability: 1,9444444444444444 
GUID: 190615, Type: GuildhouseItem, Rarity: Common, Name: Angler, Probability: 0,12544802867383512 
GUID: 190628, Type: GuildhouseItem, Rarity: Common, Name: Baker, Probability: 0,12544802867383512 
GUID: 190699, Type: GuildhouseItem, Rarity: Common, Name: Boilermaker, Probability: 0,12544802867383512 
GUID: 190740, Type: GuildhouseItem, Rarity: Common, Name: Burner, Probability: 0,12544802867383512 
GUID: 191384, Type: GuildhouseItem, Rarity: Common, Name: Butcher, Probability: 0,12544802867383512 
GUID: 191394, Type: GuildhouseItem, Rarity: Common, Name: Canner, Probability: 0,12544802867383512 
GUID: 191425, Type: GuildhouseItem, Rarity: Common, Name: Carpenter, Probability: 0,6481481481481481 
GUID: 190645, Type: GuildhouseItem, Rarity: Common, Name: Cellar Man, Probability: 0,12544802867383512 
GUID: 191315, Type: GuildhouseItem, Rarity: Common, Name: Chandler, Probability: 0,12544802867383512 
GUID: 190745, Type: GuildhouseItem, Rarity: Common, Name: Cropper, Probability: 0,12544802867383512 
GUID: 191586, Type: GuildhouseItem, Rarity: Common, Name: Digger, Probability: 0,12544802867383512 
GUID: 191585, Type: GuildhouseItem, Rarity: Common, Name: Driller, Probability: 0,12544802867383512 
GUID: 191426, Type: GuildhouseItem, Rarity: Common, Name: Glassblower, Probability: 0,12544802867383512 
GUID: 191414, Type: GuildhouseItem, Rarity: Common, Name: Handicrafter, Probability: 0,12544802867383512 
GUID: 190623, Type: GuildhouseItem, Rarity: Common, Name: Jeweller, Probability: 0,12544802867383512 
GUID: 191373, Type: GuildhouseItem, Rarity: Common, Name: Lineman, Probability: 0,12544802867383512 
